"","country","sex","time","age.code","sle_un"
"1","Algeria","male","2015-2020",0,75.39
"2","Algeria","male","2015-2020",5,72.56
"3","Algeria","male","2015-2020",10,67.74
"4","Algeria","male","2015-2020",15,62.89
"5","Algeria","male","2015-2020",20,58.1
"6","Algeria","male","2015-2020",25,53.37
"7","Algeria","male","2015-2020",30,48.65
"8","Algeria","male","2015-2020",35,43.93
"9","Algeria","male","2015-2020",40,39.24
"10","Algeria","male","2015-2020",45,34.6
"11","Algeria","male","2015-2020",50,30.08
"12","Algeria","male","2015-2020",55,25.7
"13","Algeria","male","2015-2020",60,21.53
"14","Algeria","male","2015-2020",65,17.63
"15","Algeria","male","2015-2020",70,13.98
"16","Algeria","male","2015-2020",75,10.71
"17","Algeria","male","2015-2020",80,7.95
"18","Algeria","male","2015-2020",85,5.79
"19","Algeria","male","2015-2020",90,4.21
"20","Algeria","male","2015-2020",95,3.11
"21","Argentina","male","2015-2020",0,73
"22","Argentina","male","2015-2020",5,68.94
"23","Argentina","male","2015-2020",10,64
"24","Argentina","male","2015-2020",15,59.09
"25","Argentina","male","2015-2020",20,54.39
"26","Argentina","male","2015-2020",25,49.81
"27","Argentina","male","2015-2020",30,45.18
"28","Argentina","male","2015-2020",35,40.53
"29","Argentina","male","2015-2020",40,35.88
"30","Argentina","male","2015-2020",45,31.3
"31","Argentina","male","2015-2020",50,26.86
"32","Argentina","male","2015-2020",55,22.67
"33","Argentina","male","2015-2020",60,18.85
"34","Argentina","male","2015-2020",65,15.36
"35","Argentina","male","2015-2020",70,12.26
"36","Argentina","male","2015-2020",75,9.48
"37","Argentina","male","2015-2020",80,7.1
"38","Argentina","male","2015-2020",85,5.2
"39","Argentina","male","2015-2020",90,3.76
"40","Argentina","male","2015-2020",95,2.72
"41","Australia","male","2015-2020",0,81.21
"42","Australia","male","2015-2020",5,76.53
"43","Australia","male","2015-2020",10,71.56
"44","Australia","male","2015-2020",15,66.59
"45","Australia","male","2015-2020",20,61.71
"46","Australia","male","2015-2020",25,56.88
"47","Australia","male","2015-2020",30,52.05
"48","Australia","male","2015-2020",35,47.24
"49","Australia","male","2015-2020",40,42.48
"50","Australia","male","2015-2020",45,37.76
"51","Australia","male","2015-2020",50,33.12
"52","Australia","male","2015-2020",55,28.59
"53","Australia","male","2015-2020",60,24.2
"54","Australia","male","2015-2020",65,19.98
"55","Australia","male","2015-2020",70,15.99
"56","Australia","male","2015-2020",75,12.29
"57","Australia","male","2015-2020",80,9
"58","Australia","male","2015-2020",85,6.31
"59","Australia","male","2015-2020",90,4.26
"60","Australia","male","2015-2020",95,2.89
"61","Austria","male","2015-2020",0,78.89
"62","Austria","male","2015-2020",5,74.21
"63","Austria","male","2015-2020",10,69.24
"64","Austria","male","2015-2020",15,64.27
"65","Austria","male","2015-2020",20,59.39
"66","Austria","male","2015-2020",25,54.55
"67","Austria","male","2015-2020",30,49.69
"68","Austria","male","2015-2020",35,44.85
"69","Austria","male","2015-2020",40,40.04
"70","Austria","male","2015-2020",45,35.29
"71","Austria","male","2015-2020",50,30.67
"72","Austria","male","2015-2020",55,26.21
"73","Austria","male","2015-2020",60,22.01
"74","Austria","male","2015-2020",65,18.11
"75","Austria","male","2015-2020",70,14.55
"76","Austria","male","2015-2020",75,11.23
"77","Austria","male","2015-2020",80,8.15
"78","Austria","male","2015-2020",85,5.64
"79","Austria","male","2015-2020",90,3.82
"80","Austria","male","2015-2020",95,2.59
"81","Bangladesh","male","2015-2020",0,70.48
"82","Bangladesh","male","2015-2020",5,67.99
"83","Bangladesh","male","2015-2020",10,63.25
"84","Bangladesh","male","2015-2020",15,58.45
"85","Bangladesh","male","2015-2020",20,53.74
"86","Bangladesh","male","2015-2020",25,49.05
"87","Bangladesh","male","2015-2020",30,44.29
"88","Bangladesh","male","2015-2020",35,39.58
"89","Bangladesh","male","2015-2020",40,34.93
"90","Bangladesh","male","2015-2020",45,30.38
"91","Bangladesh","male","2015-2020",50,26.01
"92","Bangladesh","male","2015-2020",55,21.91
"93","Bangladesh","male","2015-2020",60,18.1
"94","Bangladesh","male","2015-2020",65,14.72
"95","Bangladesh","male","2015-2020",70,11.63
"96","Bangladesh","male","2015-2020",75,9.18
"97","Bangladesh","male","2015-2020",80,7.01
"98","Bangladesh","male","2015-2020",85,5.37
"99","Bangladesh","male","2015-2020",90,4.16
"100","Bangladesh","male","2015-2020",95,3.43
"101","Belgium","male","2015-2020",0,79.02
"102","Belgium","male","2015-2020",5,74.33
"103","Belgium","male","2015-2020",10,69.35
"104","Belgium","male","2015-2020",15,64.39
"105","Belgium","male","2015-2020",20,59.49
"106","Belgium","male","2015-2020",25,54.66
"107","Belgium","male","2015-2020",30,49.84
"108","Belgium","male","2015-2020",35,45.02
"109","Belgium","male","2015-2020",40,40.24
"110","Belgium","male","2015-2020",45,35.53
"111","Belgium","male","2015-2020",50,30.93
"112","Belgium","male","2015-2020",55,26.51
"113","Belgium","male","2015-2020",60,22.36
"114","Belgium","male","2015-2020",65,18.44
"115","Belgium","male","2015-2020",70,14.75
"116","Belgium","male","2015-2020",75,11.32
"117","Belgium","male","2015-2020",80,8.23
"118","Belgium","male","2015-2020",85,5.7
"119","Belgium","male","2015-2020",90,3.87
"120","Belgium","male","2015-2020",95,2.64
"121","Bolivia","male","2015-2020",0,68.28
"122","Bolivia","male","2015-2020",5,66.91
"123","Bolivia","male","2015-2020",10,62.4
"124","Bolivia","male","2015-2020",15,57.66
"125","Bolivia","male","2015-2020",20,53.23
"126","Bolivia","male","2015-2020",25,49.04
"127","Bolivia","male","2015-2020",30,44.83
"128","Bolivia","male","2015-2020",35,40.63
"129","Bolivia","male","2015-2020",40,36.5
"130","Bolivia","male","2015-2020",45,32.41
"131","Bolivia","male","2015-2020",50,28.46
"132","Bolivia","male","2015-2020",55,24.6
"133","Bolivia","male","2015-2020",60,21
"134","Bolivia","male","2015-2020",65,17.72
"135","Bolivia","male","2015-2020",70,14.64
"136","Bolivia","male","2015-2020",75,11.76
"137","Bolivia","male","2015-2020",80,9.32
"138","Bolivia","male","2015-2020",85,7.21
"139","Bolivia","male","2015-2020",90,5.57
"140","Bolivia","male","2015-2020",95,4.31
"141","Brazil","male","2015-2020",0,71.9
"142","Brazil","male","2015-2020",5,68.11
"143","Brazil","male","2015-2020",10,63.2
"144","Brazil","male","2015-2020",15,58.31
"145","Brazil","male","2015-2020",20,53.78
"146","Brazil","male","2015-2020",25,49.48
"147","Brazil","male","2015-2020",30,45.07
"148","Brazil","male","2015-2020",35,40.65
"149","Brazil","male","2015-2020",40,36.28
"150","Brazil","male","2015-2020",45,31.98
"151","Brazil","male","2015-2020",50,27.83
"152","Brazil","male","2015-2020",55,23.88
"153","Brazil","male","2015-2020",60,20.13
"154","Brazil","male","2015-2020",65,16.67
"155","Brazil","male","2015-2020",70,13.6
"156","Brazil","male","2015-2020",75,10.77
"157","Brazil","male","2015-2020",80,8.37
"158","Brazil","male","2015-2020",85,6.43
"159","Brazil","male","2015-2020",90,4.91
"160","Brazil","male","2015-2020",95,3.7
"161","Cameroon","male","2015-2020",0,57.53
"162","Cameroon","male","2015-2020",5,58.36
"163","Cameroon","male","2015-2020",10,54.15
"164","Cameroon","male","2015-2020",15,49.63
"165","Cameroon","male","2015-2020",20,45.33
"166","Cameroon","male","2015-2020",25,41.27
"167","Cameroon","male","2015-2020",30,37.21
"168","Cameroon","male","2015-2020",35,33.18
"169","Cameroon","male","2015-2020",40,29.22
"170","Cameroon","male","2015-2020",45,25.35
"171","Cameroon","male","2015-2020",50,21.58
"172","Cameroon","male","2015-2020",55,18.03
"173","Cameroon","male","2015-2020",60,14.62
"174","Cameroon","male","2015-2020",65,11.52
"175","Cameroon","male","2015-2020",70,8.78
"176","Cameroon","male","2015-2020",75,6.44
"177","Cameroon","male","2015-2020",80,4.54
"178","Cameroon","male","2015-2020",85,3.1
"179","Cameroon","male","2015-2020",90,2.05
"180","Cameroon","male","2015-2020",95,1.49
"181","Canada","male","2015-2020",0,80.16
"182","Canada","male","2015-2020",5,75.6
"183","Canada","male","2015-2020",10,70.63
"184","Canada","male","2015-2020",15,65.67
"185","Canada","male","2015-2020",20,60.81
"186","Canada","male","2015-2020",25,56
"187","Canada","male","2015-2020",30,51.17
"188","Canada","male","2015-2020",35,46.34
"189","Canada","male","2015-2020",40,41.54
"190","Canada","male","2015-2020",45,36.81
"191","Canada","male","2015-2020",50,32.19
"192","Canada","male","2015-2020",55,27.71
"193","Canada","male","2015-2020",60,23.4
"194","Canada","male","2015-2020",65,19.28
"195","Canada","male","2015-2020",70,15.42
"196","Canada","male","2015-2020",75,11.88
"197","Canada","male","2015-2020",80,8.74
"198","Canada","male","2015-2020",85,6.09
"199","Canada","male","2015-2020",90,4.12
"200","Canada","male","2015-2020",95,2.81
"201","Chile","male","2015-2020",0,77.44
"202","Chile","male","2015-2020",5,73.08
"203","Chile","male","2015-2020",10,68.13
"204","Chile","male","2015-2020",15,63.19
"205","Chile","male","2015-2020",20,58.37
"206","Chile","male","2015-2020",25,53.63
"207","Chile","male","2015-2020",30,48.91
"208","Chile","male","2015-2020",35,44.21
"209","Chile","male","2015-2020",40,39.56
"210","Chile","male","2015-2020",45,34.98
"211","Chile","male","2015-2020",50,30.51
"212","Chile","male","2015-2020",55,26.19
"213","Chile","male","2015-2020",60,22.06
"214","Chile","male","2015-2020",65,18.18
"215","Chile","male","2015-2020",70,14.63
"216","Chile","male","2015-2020",75,11.44
"217","Chile","male","2015-2020",80,8.68
"218","Chile","male","2015-2020",85,6.47
"219","Chile","male","2015-2020",90,4.78
"220","Chile","male","2015-2020",95,3.51
"221","China","male","2015-2020",0,74.47
"222","China","male","2015-2020",5,70.47
"223","China","male","2015-2020",10,65.58
"224","China","male","2015-2020",15,60.67
"225","China","male","2015-2020",20,55.78
"226","China","male","2015-2020",25,50.93
"227","China","male","2015-2020",30,46.13
"228","China","male","2015-2020",35,41.34
"229","China","male","2015-2020",40,36.58
"230","China","male","2015-2020",45,31.87
"231","China","male","2015-2020",50,27.25
"232","China","male","2015-2020",55,22.79
"233","China","male","2015-2020",60,18.55
"234","China","male","2015-2020",65,14.68
"235","China","male","2015-2020",70,11.31
"236","China","male","2015-2020",75,8.59
"237","China","male","2015-2020",80,6.56
"238","China","male","2015-2020",85,4.84
"239","China","male","2015-2020",90,3.62
"240","China","male","2015-2020",95,2.81
"241","Czechia","male","2015-2020",0,76.48
"242","Czechia","male","2015-2020",5,71.71
"243","Czechia","male","2015-2020",10,66.74
"244","Czechia","male","2015-2020",15,61.77
"245","Czechia","male","2015-2020",20,56.88
"246","Czechia","male","2015-2020",25,52.06
"247","Czechia","male","2015-2020",30,47.23
"248","Czechia","male","2015-2020",35,42.41
"249","Czechia","male","2015-2020",40,37.63
"250","Czechia","male","2015-2020",45,32.94
"251","Czechia","male","2015-2020",50,28.4
"252","Czechia","male","2015-2020",55,24.04
"253","Czechia","male","2015-2020",60,20.01
"254","Czechia","male","2015-2020",65,16.39
"255","Czechia","male","2015-2020",70,13.12
"256","Czechia","male","2015-2020",75,10.12
"257","Czechia","male","2015-2020",80,7.42
"258","Czechia","male","2015-2020",85,5.16
"259","Czechia","male","2015-2020",90,3.57
"260","Czechia","male","2015-2020",95,2.43
"261","Denmark","male","2015-2020",0,78.69
"262","Denmark","male","2015-2020",5,73.99
"263","Denmark","male","2015-2020",10,69.01
"264","Denmark","male","2015-2020",15,64.03
"265","Denmark","male","2015-2020",20,59.11
"266","Denmark","male","2015-2020",25,54.22
"267","Denmark","male","2015-2020",30,49.34
"268","Denmark","male","2015-2020",35,44.48
"269","Denmark","male","2015-2020",40,39.67
"270","Denmark","male","2015-2020",45,34.93
"271","Denmark","male","2015-2020",50,30.33
"272","Denmark","male","2015-2020",55,25.95
"273","Denmark","male","2015-2020",60,21.82
"274","Denmark","male","2015-2020",65,17.9
"275","Denmark","male","2015-2020",70,14.23
"276","Denmark","male","2015-2020",75,10.86
"277","Denmark","male","2015-2020",80,7.96
"278","Denmark","male","2015-2020",85,5.63
"279","Denmark","male","2015-2020",90,3.88
"280","Denmark","male","2015-2020",95,2.71
"281","Dominican Republic","male","2015-2020",0,70.72
"282","Dominican Republic","male","2015-2020",5,68.12
"283","Dominican Republic","male","2015-2020",10,63.26
"284","Dominican Republic","male","2015-2020",15,58.4
"285","Dominican Republic","male","2015-2020",20,53.76
"286","Dominican Republic","male","2015-2020",25,49.39
"287","Dominican Republic","male","2015-2020",30,45.08
"288","Dominican Republic","male","2015-2020",35,40.84
"289","Dominican Republic","male","2015-2020",40,36.57
"290","Dominican Republic","male","2015-2020",45,32.37
"291","Dominican Republic","male","2015-2020",50,28.29
"292","Dominican Republic","male","2015-2020",55,24.33
"293","Dominican Republic","male","2015-2020",60,20.63
"294","Dominican Republic","male","2015-2020",65,17.22
"295","Dominican Republic","male","2015-2020",70,14.19
"296","Dominican Republic","male","2015-2020",75,11.49
"297","Dominican Republic","male","2015-2020",80,9.31
"298","Dominican Republic","male","2015-2020",85,7.51
"299","Dominican Republic","male","2015-2020",90,6.09
"300","Dominican Republic","male","2015-2020",95,4.98
"301","Ecuador","male","2015-2020",0,73.95
"302","Ecuador","male","2015-2020",5,70.3
"303","Ecuador","male","2015-2020",10,65.43
"304","Ecuador","male","2015-2020",15,60.62
"305","Ecuador","male","2015-2020",20,56.03
"306","Ecuador","male","2015-2020",25,51.68
"307","Ecuador","male","2015-2020",30,47.43
"308","Ecuador","male","2015-2020",35,43.11
"309","Ecuador","male","2015-2020",40,38.73
"310","Ecuador","male","2015-2020",45,34.39
"311","Ecuador","male","2015-2020",50,30.11
"312","Ecuador","male","2015-2020",55,25.99
"313","Ecuador","male","2015-2020",60,21.98
"314","Ecuador","male","2015-2020",65,18.16
"315","Ecuador","male","2015-2020",70,14.54
"316","Ecuador","male","2015-2020",75,11.33
"317","Ecuador","male","2015-2020",80,8.58
"318","Ecuador","male","2015-2020",85,6.27
"319","Ecuador","male","2015-2020",90,4.47
"320","Ecuador","male","2015-2020",95,3.02
"321","England","male","2015-2020",0,79.37
"322","England","male","2015-2020",5,74.75
"323","England","male","2015-2020",10,69.78
"324","England","male","2015-2020",15,64.81
"325","England","male","2015-2020",20,59.91
"326","England","male","2015-2020",25,55.04
"327","England","male","2015-2020",30,50.21
"328","England","male","2015-2020",35,45.4
"329","England","male","2015-2020",40,40.66
"330","England","male","2015-2020",45,36
"331","England","male","2015-2020",50,31.43
"332","England","male","2015-2020",55,26.97
"333","England","male","2015-2020",60,22.68
"334","England","male","2015-2020",65,18.66
"335","England","male","2015-2020",70,14.85
"336","England","male","2015-2020",75,11.4
"337","England","male","2015-2020",80,8.37
"338","England","male","2015-2020",85,5.88
"339","England","male","2015-2020",90,4.03
"340","England","male","2015-2020",95,2.77
"341","Finland","male","2015-2020",0,78.75
"342","Finland","male","2015-2020",5,73.93
"343","Finland","male","2015-2020",10,68.96
"344","Finland","male","2015-2020",15,63.98
"345","Finland","male","2015-2020",20,59.1
"346","Finland","male","2015-2020",25,54.32
"347","Finland","male","2015-2020",30,49.56
"348","Finland","male","2015-2020",35,44.79
"349","Finland","male","2015-2020",40,40.05
"350","Finland","male","2015-2020",45,35.38
"351","Finland","male","2015-2020",50,30.85
"352","Finland","male","2015-2020",55,26.49
"353","Finland","male","2015-2020",60,22.38
"354","Finland","male","2015-2020",65,18.5
"355","Finland","male","2015-2020",70,14.83
"356","Finland","male","2015-2020",75,11.37
"357","Finland","male","2015-2020",80,8.3
"358","Finland","male","2015-2020",85,5.77
"359","Finland","male","2015-2020",90,3.88
"360","Finland","male","2015-2020",95,2.69
"361","France","male","2015-2020",0,79.44
"362","France","male","2015-2020",5,74.75
"363","France","male","2015-2020",10,69.77
"364","France","male","2015-2020",15,64.8
"365","France","male","2015-2020",20,59.91
"366","France","male","2015-2020",25,55.08
"367","France","male","2015-2020",30,50.25
"368","France","male","2015-2020",35,45.43
"369","France","male","2015-2020",40,40.67
"370","France","male","2015-2020",45,36.01
"371","France","male","2015-2020",50,31.54
"372","France","male","2015-2020",55,27.3
"373","France","male","2015-2020",60,23.28
"374","France","male","2015-2020",65,19.39
"375","France","male","2015-2020",70,15.63
"376","France","male","2015-2020",75,12.09
"377","France","male","2015-2020",80,8.9
"378","France","male","2015-2020",85,6.22
"379","France","male","2015-2020",90,4.21
"380","France","male","2015-2020",95,2.87
"381","Germany","male","2015-2020",0,78.67
"382","Germany","male","2015-2020",5,74
"383","Germany","male","2015-2020",10,69.02
"384","Germany","male","2015-2020",15,64.06
"385","Germany","male","2015-2020",20,59.17
"386","Germany","male","2015-2020",25,54.32
"387","Germany","male","2015-2020",30,49.46
"388","Germany","male","2015-2020",35,44.61
"389","Germany","male","2015-2020",40,39.8
"390","Germany","male","2015-2020",45,35.1
"391","Germany","male","2015-2020",50,30.57
"392","Germany","male","2015-2020",55,26.24
"393","Germany","male","2015-2020",60,22.15
"394","Germany","male","2015-2020",65,18.29
"395","Germany","male","2015-2020",70,14.68
"396","Germany","male","2015-2020",75,11.37
"397","Germany","male","2015-2020",80,8.53
"398","Germany","male","2015-2020",85,6.43
"399","Germany","male","2015-2020",90,4.72
"400","Germany","male","2015-2020",95,3.47
"401","Greece","male","2015-2020",0,79.48
"402","Greece","male","2015-2020",5,74.77
"403","Greece","male","2015-2020",10,69.8
"404","Greece","male","2015-2020",15,64.83
"405","Greece","male","2015-2020",20,59.91
"406","Greece","male","2015-2020",25,55.06
"407","Greece","male","2015-2020",30,50.22
"408","Greece","male","2015-2020",35,45.42
"409","Greece","male","2015-2020",40,40.62
"410","Greece","male","2015-2020",45,35.91
"411","Greece","male","2015-2020",50,31.4
"412","Greece","male","2015-2020",55,27.07
"413","Greece","male","2015-2020",60,23.06
"414","Greece","male","2015-2020",65,19.22
"415","Greece","male","2015-2020",70,15.61
"416","Greece","male","2015-2020",75,12.08
"417","Greece","male","2015-2020",80,9.02
"418","Greece","male","2015-2020",85,6.55
"419","Greece","male","2015-2020",90,4.86
