Country,First Covid,Last Day of Data,Diff Days,Source
Afghanistan,2/24/20,11/28/20,278,https://www.reuters.com/article/us-china-health-afghanistan/afghanistan-confirms-first-coronavirus-case-in-province-bordering-iran-idUSKCN20I0M0
Albania,3/11/20,12/2/20,266,https://www.garda.com/crisis24/news-alerts/320656/albania-health-officials-confirm-first-cases-of-covid-19-march-9
Algeria,2/25/20,6/22/20,118,https://africatimes.com/2020/02/25/algerian-health-minister-confirms-first-covid-19-case/
Argentina,3/3/20,11/12/20,254,https://www.infobae.com/coronavirus/2020/03/03/confirmaron-el-primer-caso-de-coronavirus-en-la-argentina/
Australia,1/25/20,1/3/21,344,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/first-confirmed-case-of-novel-coronavirus-in-australia
Austria,2/25/20,11/22/20,271,https://www.theguardian.com/world/live/2020/feb/25/coronavirus-live-updates-outbreak-latest-news-italy-italia-deaths-symptoms-china-stocks-wall-street-dow-jones-economy-falls?page=with:block-5e550afd8f086a28115b2205
Bangladesh,3/8/20,12/31/20,298,https://www.reuters.com/article/us-health-coronavirus-bangladesh-idUSKBN20V0FS
Belgium,2/4/20,1/4/21,335,https://www.brusselstimes.com/all-news/belgium-all-news/93361/first-case-of-coronavirus-confirmed-in-belgium/
Bolivia,3/10/20,4/22/20,43,https://eldeber.com.bo/169442_los-casos-de-coronavirus-suben-a-10-y-confirman-transmision-local
Brazil,2/25/20,12/29/20,308,https://www1.folha.uol.com.br/equilibrioesaude/2020/02/brasil-confirma-primeiro-caso-do-novo-coronavirus.shtml
Burkina Faso,3/10/20,6/30/20,112,https://www.aa.com.tr/en/africa/burkina-faso-confirms-first-two-cases-of-covid-19/1760201
Cameroon,3/6/20,4/16/20,41,https://www.reuters.com/article/us-health-coronavirus-cameroon-idUSKBN20T10Z
Canada,2/25/20,9/22/20,210,https://www.cp24.com/news/man-who-flew-to-toronto-from-china-is-canada-s-first-coronavirus-case-1.4783476
Chad,3/19/20,10/21/20,216,https://www.reuters.com/article/us-health-coronavirus-chad/chad-confirms-first-case-of-coronavirus-government-statement-idUSKBN2162LO
Chile,3/3/20,11/11/20,253,https://www.reuters.com/article/us-health-coronavirus-chile/chile-records-first-confirmed-case-of-coronavirus-health-ministry-idUSKBN20Q2UU
China,12/1/19,2/11/20,72,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30183-5/abstract
Colombia,3/6/20,1/4/21,304,https://www.minsalud.gov.co/Paginas/Colombia-confirma-su-primer-caso-de-COVID-19.aspx
Costa Rica,3/5/20,11/10/20,250,https://www.garda.com/crisis24/news-alerts/320411/costa-rica-government-confirms-first-case-of-covid-19-march-6
Croatia,2/25/20,11/22/20,271,https://medicalxpress.com/news/2020-02-croatia-coronavirus-case-balkans.html
Cuba,3/12/20,5/24/20,73,https://www.nbcnews.com/news/latino/cuba-confirms-first-coronavirus-cases-tells-people-make-their-own-n1156711
Cyprus,3/9/20,11/8/20,244,https://www.reuters.com/article/us-health-coronavirus-cyprus/cyprus-reports-first-two-coronavirus-cases-including-health-professional-idUSKBN20W2BQ
Czechia,3/1/20,1/4/21,309,https://ct24.ceskatelevize.cz/domaci/3056228-v-cesku-jsou-tri-lide-nakazeni-koronavirem
Denmark,2/27/20,12/29/20,306,https://nyheder.tv2.dk/samfund/2020-02-27-dansker-smittet-med-coronavirus
Dominican Republic,3/1/20,6/15/20,106,https://elnacional.com.do/republica-dominicana-confirma-el-primer-caso-de-coronavirus/
Ecuador,2/29/20,7/31/20,153,https://twitter.com/elcomerciocom/status/1233773816825946113
El Salvador,3/19/20,5/28/20,70,https://www.garda.com/crisis24/news-alerts/324761/el-salvador-government-confirms-first-case-of-covid-19-march-18-update-6
Estonia,2/26/20,11/22/20,270,https://www.reuters.com/article/us-china-health-estonia-case/estonia-reports-first-confirmed-coronavirus-case-idUSKCN20L0L6
Eswatini,3/11/20,12/10/20,274,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Eswatini#Timeline
Ethiopia,3/13/20,5/9/20,57,https://www.reuters.com/article/us-health-coronavirus-ethiopia/ethiopia-confirms-its-first-case-of-coronavirus-idUSKBN2101KF
Finland,1/29/20,11/15/20,291,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7096774/
France,1/24/20,12/17/20,328,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-en-france-le-parcours-des-trois-patients_3799837.html
Germany,1/25/20,1/4/21,345,https://www.reuters.com/article/us-china-health-germany-idUSKBN20J2K2
Greece,1/26/20,12/16/20,325,https://www.reuters.com/article/us-china-health-greece-idUSKCN20K1IA
Haiti,3/20/20,11/4/20,229,https://www.voanews.com/science-health/coronavirus-outbreak/haiti-confirms-its-first-coronavirus-cases
Hungary,3/4/20,11/1/20,242,https://www.reuters.com/article/us-health-coronavirus-hungary/hungary-confirms-first-two-coronavirus-cases-idUSKBN20R2RA
Iceland,2/28/20,11/1/20,247,https://www.icelandreview.com/news/first-confirmed-covid-19-case-in-iceland/
India,1/30/20,10/2/20,246,https://www.cnbc.com/2020/01/30/india-confirms-first-case-of-the-coronavirus.html
Indonesia,3/2/20,12/21/20,294,https://www.thejakartapost.com/news/2020/03/02/breaking-jokowi-announces-indonesias-first-two-confirmed-covid-19-cases.html
Iraq,2/27/20,5/24/20,87,https://www.reuters.com/article/us-china-health-iraq/iraq-reports-first-coronavirus-case-in-baghdad-sixth-overall-idUSKCN20L0J9
Ireland,2/29/20,11/22/20,267,https://www.bbc.com/news/world-europe-51693259
Israel,2/21/20,12/9/20,292,https://www.timesofisrael.com/israel-confirms-first-coronavirus-case-as-cruise-ship-returnee-diagnosed/
Italy,1/31/20,11/22/20,296,https://www.corriere.it/cronache/20_gennaio_30/coronavirus-italia-corona-9d6dc436-4343-11ea-bdc8-faf1f56f19b7.shtml
Jamaica,3/10/20,12/29/20,294,https://www.garda.com/crisis24/news-alerts/321541/jamaica-government-confirms-first-covid-19-case-march-10-update-2
Japan,1/16/20,8/18/20,215,https://www.who.int/csr/don/16-january-2020-novel-coronavirus-japan-ex-china/en/
Kenya,3/12/20,10/11/20,213,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167550/#:~:text=On%2012th%20March%202020%2C%20the,the%20National%20Public%20Health%20Laboratories."
Latvia,3/2/20,11/1/20,244,https://www.reuters.com/article/us-health-coronavirus-latvia/latvia-reports-its-first-coronavirus-case-ministry-idUSKBN20P2IU
Lithuania,2/27/20,11/1/20,248,https://www.reuters.com/article/us-china-health-lithuania-case/lithuania-confirms-first-coronavirus-infection-idUSKCN20M0E2
Luxembourg,2/29/20,11/22/20,267,https://medicalxpress.com/news/2020-02-luxembourg-coronavirus-case-linked-italy.html
Malawi,4/2/20,11/29/20,241,https://www.garda.com/crisis24/news-alerts/328736/malawi-first-covid-19-cases-confirmed-april-2-update-2
Malta,3/7/20,11/22/20,260,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239389
Mexico,2/28/20,12/28/20,304,https://losangeles.cbslocal.com/2020/02/28/mexico-confirms-its-first-2-coronavirus-cases/
Moldova,3/8/20,12/23/20,290,https://www.garda.com/crisis24/news-alerts/320631/moldova-first-case-of-covid-19-confirmed-march-8
Nepal,1/23/20,9/26/20,247,https://www.thelancet.com/pdfs/journals/laninf/PIIS1473-3099(20)30067-0.pdf
Netherlands,2/27/20,12/27/20,304,https://www.rivm.nl/node/152811
New Zealand,2/28/20,12/29/20,305,https://www.health.govt.nz/news-media/media-releases/single-case-covid-19-confirmed-new-zealand
Nicaragua,3/19/20,12/23/20,279,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321013/
Nigeria,1/28/20,11/28/20,305,https://www.nature.com/articles/d41591-020-00004-2
Norway,2/26/20,11/15/20,263,https://www.thelocal.no/20200226/breaking-norway-announces-first-case-of-coronavirus
Pakistan,2/26/20,6/2/20,97,https://www.pakistantoday.com.pk/2020/02/26/sindh-health-two-coronavirus-cases-confirmed-in-pakistan-confirms-first-coronavirus-case-in-karachi/
Panama,3/9/20,7/4/20,117,https://www.reuters.com/article/us-health-coronavirus-panama/panama-reports-first-coronavirus-death-seven-more-people-infected-idUSKBN20Y01G
Peru,3/6/20,1/2/21,302,https://www.reuters.com/article/us-health-coronavirus-peru/peru-records-first-confirmed-case-of-coronavirus-president-vizcarra-says-idUSKBN20T1S9
Philippines,1/30/20,1/1/21,337,https://www.gmanetwork.com/news/news/nation/724311/companion-of-first-ncov-patient-in-philippines-also-at-san-lazaro-doh/story/
Poland,3/4/20,11/22/20,263,https://www.garda.com/crisis24/news-alerts/319811/poland-first-case-of-covid-19-confirmed-march-4-update-1
Portugal,3/2/20,12/20/20,293,https://www.dn.pt/pais/confirmados-dois-primeiros-casos-de-coronavirus-em-portugal-11805920.html
Romania,2/26/20,11/1/20,249,https://www.digi24.ro/stiri/actualitate/primul-caz-de-coronavirus-in-romania-1266806
Sierra Leone,3/31/20,9/28/20,181,https://www.reuters.com/article/us-health-coronavirus-leone/sierra-leone-has-confirmed-its-first-case-of-coronavirus-president-says-idUSKBN21I1MY
Slovakia,3/6/20,11/22/20,261,https://www.usnews.com/news/world/articles/2020-03-06/slovakia-reports-first-case-of-coronavirus-prime-minister
Slovenia,3/4/20,1/3/21,305,https://www.reuters.com/article/us-health-coronavirus-slovenia/slovenia-confirms-first-case-of-coronavirus-idUSKBN20R33X
South Africa,3/5/20,6/27/20,114,https://www.gov.za/speeches/health-reports-first-case-covid-19-coronavirus-5-mar-2020-0000
South Korea,1/20/20,12/27/20,342,https://www.mk.co.kr/news/society/view/2020/01/80017/
Spain,1/31/20,1/4/21,339,https://elpais.com/sociedad/2020/01/31/actualidad/1580509404_469734.html
Suriname,3/13/20,8/18/20,158,https://www.reuters.com/article/us-health-coronavirus-suriname-confirmed/suriname-confirms-first-coronavirus-case-authorities-will-close-borders-idUSKBN210373
Sweden,1/31/20,11/22/20,296,https://www.gp.se/nyheter/sverige/f%C3%B6rsta-svenska-coronafallet-kliniskt-frisk-1.24829340
Switzerland,2/25/20,1/1/21,311,https://www.thelocal.ch/20200225/breaking
Taiwan,1/21/20,8/10/20,202,https://focustaiwan.tw/society/202001210019
Togo,3/6/20,12/16/20,285,https://www.reuters.com/article/us-healthcare-coronavirus-togo/togo-confirms-first-case-of-coronavirus-idUSKBN20T1Z5
Turkey,3/11/20,10/26/20,229,https://www.theguardian.com/world/2020/mar/11/turkey-announces-its-first-case-of-coronavirus
Ukraine,3/3/20,1/3/21,306,https://www.garda.com/crisis24/news-alerts/320111/ukraine-country-confirms-first-covid-19-case-march-3
United Kingdom,1/31/20,11/27/20,301,https://www.bbc.com/news/health-51325192
Uruguay,3/13/20,12/11/20,273,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uruguay#:~:text=The%20COVID%2D19%20pandemic%20in,the%20Ministry%20of%20Public%20Health."
USA,1/20/20,12/26/20,341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158585/